track_id,track_name,artists,album,danceability,loudness,acousticness,liveness,valence,tempo
07ipXN6CNTw34qwSYePKpg,Summer on You,PRETTYMUCH,Summer on You,0.811,-6.55,0.636,0.462,0.694,99.995
71OvX5NNLrmz7rpq1ANTQn,Daddy Lessons,Beyoncé,Lemonade,0.643,-8.37,0.273,0.349,0.598,90.886
1IaYWv32nFFMdljBIjMY5T,Telephone,"Lady Gaga, Beyoncé",The Fame Monster,0.827,-5.864,0.00748,0.115,0.684,122.017
1nZzRJbFvCEct3uzu04ZoL,Part Of Me,Katy Perry,Teenage Dream: The Complete Confection,0.678,-4.63,0.000417,0.0744,0.769,130.028
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),"The Script, will.i.am",#3 Deluxe Version,0.421,-4.343,0.0654,0.123,0.629,84.786
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,"A Great Big World, Christina Aguilera",Is There Anybody Out There?,0.407,-8.822,0.857,0.0913,0.0765,141.284
5nCthAh3jt4xKuLJAifAaR,Harleys In Hawaii,Katy Perry,Harleys In Hawaii,0.722,-6.207,0.185,0.126,0.721,140.094
0mqTcM8kuu2IYPotMt7AzS,Make You Feel My Love,Adele,19,0.559,-10.636,0.907,0.105,0.0955,77.025
4Psh3fEnAMftNPOTsAHPgG,cold/mess,Prateek Kuhad,cold / mess,0.509,-6.601,0.285,0.167,0.299,145.967
43E8vmMDsNH4IL8HReR6JH,Bullet,Ann Marr,Bullet,0.573,-8.265,0.0752,0.222,0.091,149.897
0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,James Arthur,Back from the Edge,0.696,-6.164,0.308,0.0939,0.479,107.969
2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),"Mike Perry, shy martin",The Ocean (feat. Shy Martin),0.632,-6.478,0.0225,0.104,0.188,90.037
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),0.464,-10.086,0.866,0.109,0.604,75.801
0EAzlhtMYxRb6wbi6KnPjC,The Other,Lauv,I met you when I was 18. (the playlist),0.38,-6.621,0.421,0.0788,0.384,179.629
5qrSlOut2rNAWv3ubArkNy,Be Alright,Dean Lewis,A Place We Knew,0.551,-7.595,0.705,0.0802,0.493,126.421
5CpvcmX1Wnc6FG5hP21DkZ,Never Enough,Travis Atreo,Never Enough,0.469,-10.257,0.885,0.118,0.373,130.694
3JOVTQ5h8HGFnDdp4VT3MP,Mad World,"Gary Jules, Michael Andrews",Trading Snakeoil for Wolftickets,0.344,-17.212,0.976,0.103,0.323,174.149
6GzApXoBQiiAjak3tOQfV3,Lie To Me (feat. Julia Michaels),"5 Seconds of Summer, Julia Michaels",Lie To Me (feat. Julia Michaels),0.611,-5.445,0.0132,0.105,0.771,159.927
7BBADmsaVUwLYLxTnXBWZU,Illusion,"ONEDUO, Jackie Legere",Illusion,0.607,-6.695,0.143,0.0493,0.384,164.935
2PgMUAn2bBpm8gz6yAXvVL,Kills You Slowly,The Chainsmokers,World War Joy,0.696,-8.77,0.0636,0.127,0.229,149.923
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"The Chainsmokers, Daya",Don't Let Me Down,0.532,-5.094,0.157,0.136,0.422,159.803
3IsCTVfdFpZyKNkH6mFGlf,Supernatural,"APEK, Stassi",Supernatural,0.48,-6.601,0.0733,0.317,0.325,95.952
2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,The Chainsmokers,World War Joy...Push My Luck,0.584,-6.415,0.288,0.186,0.53,90.036
6LjnaLN4Enc5RyLdNwWBTf,Still in Love - Gibson/Saavn Session,Nikhil D'Souza,Still in Love (Gibson/Saavn Session),0.444,-12.455,0.847,0.123,0.168,80.478
7vyQwt3xnZccpLDtj0X45b,Chariot,Jacob Lee,Chariot,0.505,-6.54,0.105,0.0982,0.298,66.604
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Lana Del Rey,Young And Beautiful,0.324,-8.92,0.262,0.11,0.151,113.986
52iLDrSoRtf9lcgFuLVfqE,Older,Sasha Alex Sloan,Older,0.681,-9.599,0.743,0.0974,0.162,64.002
2fbJ5Msx8KoDKpyufH5YsU,I'll Never Love Again - Extended Version,Lady Gaga,A Star Is Born Soundtrack,0.406,-6.145,0.685,0.122,0.202,109.246
6yaHCAtl9kA0K3FMumR2ph,Heart Like Yours,Willamette Stone,If I Stay: Original Motion Picture Soundtrack: Deluxe Version,0.497,-9.782,0.879,0.102,0.338,140.117
2cbic3TiUENlJX91y67ARR,Skinny Love,Bon Iver,"For Emma, Forever Ago",0.593,-14.029,0.844,0.127,0.109,76.379
23TL1H9YRub4jpMs552fak,Hocus Pocus,Clark Beckham,Year One,0.616,-8.43,0.856,0.243,0.37,85.041
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,0.37,-9.013,0.0205,0.109,0.182,94.485
6yaHCAtl9kA0K3FMumR2ph,Heart Like Yours,Willamette Stone,If I Stay: Original Motion Picture Soundtrack: Deluxe Version,0.497,-9.782,0.879,0.102,0.338,140.117
4fbvXwMTXPWaFyaMWUm9CR,Holocene,Bon Iver,Bon Iver,0.374,-14.52,0.943,0.126,0.147,147.969
4jR3wsCozVviDetIeB9OP6,"This Guy's In Love with You (From ""Sea of Love"")",Bobby Vinton,Collections,0.535,-14.987,0.74,0.137,0.328,101.704
44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,0.396,-14.062,0.941,0.105,0.343,100.307
0wBS0cVvsderMUaLLTbGv6,Hey Jude - Remastered,The Beatles,The Beatles 1967 - 1970 (Remastered),0.402,-10.158,0.028,0.0929,0.668,145.164
7f9I5WdyXm5q1XqnSYgQZb,Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,0.42,-4.706,8.15e-05,0.0871,0.463,165.182
013AWvizllIUEC2FOBzOnh,Truly Madly Deeply,Savage Garden,Savage Garden,0.555,-8.874,0.403,0.0851,0.816,168.12
71iSmEeF0qRVyULABxP75P,Shake It Out,Florence + The Machine,Ceremonials (Original Deluxe Version),0.519,-4.207,0.00878,0.107,0.226,107.489
4CxFN5zON70B3VOPBYbd6P,you were good to me,"Jeremy Zucker, Chelsea Cutler",brent,0.561,-15.099,0.913,0.112,0.206,102.128
244AvzGQ4Ksa5637JQu5Gy,You've Got The Love,Florence + The Machine,Lungs (Deluxe Version),0.574,-4.697,0.00481,0.102,0.401,109.85
2WU4ET9r25IVZGQkWOM2UL,Human - Acoustic,Jon Bellion,Human (Acoustic),0.48,-15.996,0.892,0.173,0.324,182.389
552vJkyV7hQmPSjmgwPa5Z,100 words,Prateek Kuhad,cold / mess,0.468,-14.575,0.887,0.114,0.58,76.139
3ZOD3aghbxBkgKsLu2jOEK,These Memories,Hollow Coves,Wanderlust,0.521,-18.229,0.961,0.0676,0.392,77.519
3wJmcmAh2YAfDSKQR8o1XS,In Your Arms,Chef'Special,Passing Through,0.669,-12.186,0.646,0.112,0.362,92.964
3uaUaKlHgE9uDZtYyJDEKO,Aasman Ki Dukaan,Swarathma,Raah-e-Fakira,0.318,-8.609,0.404,0.125,0.231,65.342
2Gl0FzuLxflY6nPifJp5Dr,First Time,"Kygo, Ellie Goulding",First Time,0.633,-7.245,0.197,0.099,0.679,90.066
18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,"summer,",0.795,-11.991,0.607,0.623,0.608,93.982
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"Powfu, beabadoobee",death bed (coffee for your head),0.726,-8.765,0.731,0.696,0.348,144.026
1almCHdsfikRPfVB9VrEdT,Little Do You Know,Alex & Sierra,It's About Us,0.5,-8.554,0.746,0.188,0.37,145.879
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0.701,-10.965,0.328,0.1,0.562,135.128
09IStsImFySgyp0pIQdqAc,The Middle,"Zedd, Maren Morris, Grey",The Middle,0.753,-3.061,0.171,0.112,0.437,107.01
1VdZ0vKfR5jneCmWIUAMxK,The A Team,Ed Sheeran,+,0.642,-9.918,0.669,0.18,0.407,84.996
0HOVwkHQmGlVfwb8OQflEC,with you/for you,Prateek Kuhad,cold / mess,0.732,-13.796,0.811,0.106,0.322,114.095
3TaoFBplKZB4AclYV2cDwT,Firefly,When Chai Met Toast,Joy of Little Things,0.533,-5.533,0.161,0.0588,0.391,79.947
1pV9TLnQdOHbvourRO7x4m,comethru (bonus track),Jeremy Zucker,love is not dying,0.795,-12.293,0.59,0.621,0.611,94.02
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan,Dancing With Your Ghost,0.629,-8.284,0.768,0.103,0.389,74.953
1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato",No Promises (feat. Demi Lovato),0.741,-5.445,0.0575,0.106,0.595,112.956
1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),"SHAED, ZAYN",Trampoline (with ZAYN),0.619,-5.782,0.56,0.137,0.498,126.803
4fpEuKIzTLmMJnYwFU0oqr,Death with Dignity,Sufjan Stevens,Carrie & Lowell,0.51,-21.03,0.986,0.113,0.383,170.063
27r2uANqwK7XbsiAZnzf9e,One Day,Tate McRae,One Day,0.52,-12.148,0.922,0.0883,0.355,69.217
7cgu4JBW3hq1GwTM1ilkKQ,Talking Body,Tove Lo,Queen Of The Clouds,0.736,-5.449,0.0966,0.0823,0.114,119.999
4fa1TicRIFloaEVUubYfTV,Heart Attack,One Direction,Take Me Home (Expanded Edition),0.44,-4.859,0.0164,0.0955,0.652,99.039
3tYI3GE47dvrqCvmrh1KYQ,Myself,Medha Sahi,Four More Shots Please! (Original Series Soundtrack),0.673,-8.138,0.521,0.121,0.257,119.996
