,track_id,track_name,danceability,loudness,acousticness,liveness,valence,tempo
52,1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),0.575,-7.302,0.173,0.257,0.471,75.956
53,5GCU2LJWPzoP8Q6nexs61z,Let's Go,0.673,-7.612,0.00172,0.3,0.303,75.505
54,2yUzr8Sr6ldG8vmHhZwTnz,née-nah,0.678,-6.524,0.00495,0.57,0.318,165.423
55,5gzEL5O1ubbtIHUhLkSMTz,Loop Hole (feat. 21 Savage),0.746,-7.459,0.00412,0.331,0.491,164.928
56,2Adxpr1j5lSihOCsmIfflJ,GET OFF ME (with Travis Scott),0.78,-8.164,0.0185,0.153,0.0585,121.919
57,2FoahzOSxJnalPA8aBUme3,all of me,0.653,-5.708,0.12,0.842,0.791,159.947
58,1nQaTUDJ7Rc4yOvZmg9Ozr,Mmhmm,0.93,-8.799,0.028,0.129,0.962,126.003
59,2tOZtdbkAMQASWokLvSlzj,Overnight Celebrity,0.828,-5.435,0.182,0.281,0.777,134.199
60,779jpZikRmH99DiSVpwCHD,soak city (do it),0.861,-6.358,0.0658,0.286,0.257,101.919
61,6x9pCndnXEoea0CMcfjs9W,n.h.i.e.,0.818,-9.056,0.093,0.11,0.155,131.967
62,6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,0.781,-7.857,0.0504,0.0981,0.0743,121.964
63,79AHPJd8upvNxyK2qQcY8J,HISS,0.745,-5.056,0.078,0.213,0.686,167.137
64,2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),0.663,-8.399,0.0464,0.205,0.138,136.952
65,69phA1R4gmQsBFRQ3INW8C,ONE CALL,0.65,-7.281,0.00617,0.114,0.253,158.105
66,1c7MITQmNJTrvfbDSzWT6x,Climate (feat. Offset),0.96,-3.881,0.0256,0.0889,0.703,124.563
67,3ScMs95OaNlkrZuRe7gyYa,PISTOL PACCIN,0.831,-4.127,0.0195,0.259,0.833,144.967
68,4xhsWYTOGcal8zt0J161CU,Lovin On Me,0.943,-4.911,0.0026,0.0937,0.606,104.983
69,6ulEymrJ2Azx1uo3YHSE5w,Bent,0.862,-7.423,0.379,0.415,0.239,124.081
70,1WrxYBGmFK19BMRn3wLYMa,Shotta Flow 7,0.943,-4.665,0.0056,0.116,0.219,120.004
71,1a73gcEg6h6Re6hHXoVltJ,FTCU,0.928,-6.751,0.0175,0.118,0.242,144.995
72,4b8zFITxLmN0rIbhuj5wub,RNS,0.92,-4.976,0.00518,0.0893,0.853,140.012
