artist_ids,artists,count,href,genre,image,popularity
5WUlDfRSoLAfcVSX1WnrxN,Sia,11,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'pop']",https://i.scdn.co/image/ab6761610000e5eb7c997fe6951bc0926f09ba38,83
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,11,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36,89
3MZsBdqDrRTJihTHQrO6Dq,Joji,11,https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq,['viral pop'],https://i.scdn.co/image/ab6761610000e5eb4111c95b5f430c3265c7304b,78
1dVygo6tRFXC8CSWURQJq2,Sonu Nigam,11,https://open.spotify.com/artist/1dVygo6tRFXC8CSWURQJq2,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5ebbc959d7569618ec2af2210f5,75
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,10,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'pop']",https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf,88
0uTTX3h4w3LJY4EEqg82On,Abhishek Roy,10,https://open.spotify.com/artist/0uTTX3h4w3LJY4EEqg82On,[],https://i.scdn.co/image/ab6761610000e5eb15bec02946b724b3ee6fbe3b,3
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,10,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN,['electro house'],https://i.scdn.co/image/ab6761610000e5ebbf753c009fd9c2d53351dd3c,80
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,10,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb,95
3eDT9fwXKuHWFvgZaaYC5v,Sunidhi Chauhan,10,https://open.spotify.com/artist/3eDT9fwXKuHWFvgZaaYC5v,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5eb21a9a4198a25ad25ff3c45ff,73
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,10,https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",https://i.scdn.co/image/ab6761610000e5eb67be065df01f37a3880216be,75
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,9,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,86
