track_id,track_name,artists,album,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,playlist
3XpgLBx3TGuDIFV5gUaR0w,Only Hope,"Mandy Moore, ",A Walk To Remember Music From The Motion Picture,0.246,0.301,0.0281,0.876,1.19e-05,0.109,0.193,77.572,8.0,0.0,hodgepodge.
1othhMi2WsiF9oLoisJjYW,TALK ME DOWN,"Troye Sivan, ",Blue Neighbourhood (Deluxe),0.362,0.781,0.0741,0.151,0.000197,0.125,0.354,173.688,6.0,1.0,hodgepodge.
1aJrVsHwcQMZ8TZ6mlvT5J,A Real Hero,"College, Electric Youth, ",A Real Hero EP,0.719,0.431,0.0357,0.834,0.739,0.145,0.378,112.004,10.0,1.0,hodgepodge.
45yEy5WJywhJ3sDI28ajTm,Here Comes The Sun - Remastered,"The Beatles, ",Abbey Road (Remastered),0.557,0.54,0.0347,0.0339,0.00248,0.179,0.394,129.171,9.0,1.0,hodgepodge.
3afkJSKX0EAMsJXTZnDXXJ,Strawberries & Cigarettes,"Troye Sivan, ",Strawberries & Cigarettes,0.578,0.537,0.0832,0.162,0.0,0.076,0.25,83.909,9.0,1.0,hodgepodge.
2dRvMEW4EwySxRUtEamSfG,The Heart Wants What It Wants,"Selena Gomez, ",For You,0.616,0.789,0.0377,0.053,0.0,0.142,0.621,83.066,7.0,0.0,hodgepodge.
6u7jPi22kF8CTQ3rb9DHE7,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus, ",Old Town Road,0.878,0.619,0.102,0.0533,0.0,0.113,0.639,136.041,6.0,1.0,hodgepodge.
5p7ujcrUXASCNwRaWNHR1C,Without Me,"Halsey, ",Without Me,0.752,0.488,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,6.0,1.0,hodgepodge.
2jTidefcsTu6VQhpIImJrt,All I Want,"Kodaline, ",In A Perfect World (Deluxe),0.188,0.411,0.0484,0.174,0.153,0.0843,0.159,187.376,0.0,1.0,hodgepodge.
1T575AhHueYinKSDflEsGK,Heaven,"Julia Michaels, ",Fifty Shades Freed (Original Motion Picture Soundtrack),0.552,0.371,0.0359,0.857,0.0,0.0838,0.245,199.843,7.0,0.0,hodgepodge.
