track_id,track_name,artists,album,valence
43E8vmMDsNH4IL8HReR6JH,Bullet,Ann Marr,Bullet,0.091
0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,James Arthur,Back from the Edge,0.479
2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),"Mike Perry, shy martin",The Ocean (feat. Shy Martin),0.188
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),0.604
0EAzlhtMYxRb6wbi6KnPjC,The Other,Lauv,I met you when I was 18. (the playlist),0.384
5qrSlOut2rNAWv3ubArkNy,Be Alright,Dean Lewis,A Place We Knew,0.493
5CpvcmX1Wnc6FG5hP21DkZ,Never Enough,Travis Atreo,Never Enough,0.373
3JOVTQ5h8HGFnDdp4VT3MP,Mad World,"Gary Jules, Michael Andrews",Trading Snakeoil for Wolftickets,0.323
6GzApXoBQiiAjak3tOQfV3,Lie To Me (feat. Julia Michaels),"5 Seconds of Summer, Julia Michaels",Lie To Me (feat. Julia Michaels),0.771
7BBADmsaVUwLYLxTnXBWZU,Illusion,"ONEDUO, Jackie Legere",Illusion,0.384
2PgMUAn2bBpm8gz6yAXvVL,Kills You Slowly,The Chainsmokers,World War Joy,0.229
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"The Chainsmokers, Daya",Don't Let Me Down,0.422
3IsCTVfdFpZyKNkH6mFGlf,Supernatural,"APEK, Stassi",Supernatural,0.325
2a3dopgTF1q4rMVDJ1rwBU,Push My Luck,The Chainsmokers,World War Joy...Push My Luck,0.53
6LjnaLN4Enc5RyLdNwWBTf,Still in Love - Gibson/Saavn Session,Nikhil D'Souza,Still in Love (Gibson/Saavn Session),0.168
7vyQwt3xnZccpLDtj0X45b,Chariot,Jacob Lee,Chariot,0.298
2nMeu6UenVvwUktBCpLMK9,Young And Beautiful,Lana Del Rey,Young And Beautiful,0.151
52iLDrSoRtf9lcgFuLVfqE,Older,Sasha Alex Sloan,Older,0.162
